Model,Train Accuracy,Train Sensitivity,Train Specificity,Train Precision,Train F1,Test Accuracy,Test Sensitivity,Test Specificity,Test Precision,Test F1
Logistic Regression,87.31711395,84.8117493,89.82247861,89.28560951,86.99119598,87.79847985,83.91282225,90.35224613,85.1109582,84.50764369
Naive Bayes,70.56614553,99.18903102,41.94326004,63.07898165,77.11616066,64.73733773,99.08412483,42.16363839,52.96224106,69.02785573
Decision Tree,99.75475852,99.50951704,100,100,99.75415561,99.98654739,99.9660787,100,100,99.98303647
Random Forest,99.76172561,99.52345122,100,100,99.76115651,99.49889016,99.93215739,99.21413443,98.81761006,99.37175865
XGBoost,99.72270992,99.44541984,100,100,99.72193888,99.65695836,99.3385346,99.86623565,99.79553587,99.56651084
KNN,89.12995012,87.33104813,90.9288521,90.5903099,88.93082653,82.50151342,77.48473541,85.79868465,78.19426615,77.83788389
