Model,Test Accuracy,Test Sensitivity,Test F1,Training Time (sec),Prediction Time (sec)
Logistic Regression,85.28956749848659,65.9570596797671,68.84763306585631,59.68465209007263,0
Naive Bayes,30.911862962713844,99.34497816593887,41.47833023132146,0.2724881172180176,0
SVM,46.16264209322661,57.52365356622998,34.497244803317145,201.38990330696106,0
Decision Tree,100.0,100.0,100.0,1.9456851482391357,0
Random Forest,99.99775789780499,100.0,99.99545144416648,73.49949812889099,0
XGBoost,100.0,100.0,100.0,5.33120584487915,0
KNN,49.69171094818502,53.175036390101894,34.25339896858885,0.04288506507873535,0
