,ID,Interest_rate_spread,Upfront_charges,LTV,Status,Loan_Default
count,148670.0,148670.0,148670.0,148670.0,148670.0,148670.0
mean,0.4999999999999998,0.5122876057485455,0.3663104800214293,0.48852681841966894,0.0,0.5018564606174749
std,0.2886780471889588,0.23533432419051384,0.28061059311490777,0.2001746076482493,0.0,0.4999982351158071
min,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.24999999999999997,0.3749999999999999,0.1592612824674032,0.3749999999999999,0.0,0.0
50%,0.49999999999999994,0.4940992018244013,0.3308111654899912,0.5131371814816534,0.0,1.0
75%,0.75,0.6249999999999999,0.49555676948044197,0.625,0.0,1.0
max,1.0,1.0,1.0,1.0000000000000002,0.0,1.0
